model_name,provider,intelligence_idx,cost_usd_1m,speed_tok_s,latency_s,avg_score,accuracy,cost_efficiency,speed_efficiency
NVIDIA Nemotron 3 Nano,NVIDIA,25.0,0.1,177,0.31,,25.0,249.9999975,570.9677400936524
Qwen3 235B 2507,Alibaba,24.0,1.23,40,1.08,,24.0,19.512195106087646,37.03703700274348
HyperCLOVA X SEED Think (32B),Naver,24.0,0.0,0,0.0,,24.0,24000000000.0,0.0
Motif-2-12.7B,Motif Technologies,24.0,0.0,0,0.0,,24.0,24000000000.0,0.0
Nova 2.0 Omni (low),Amazon,24.0,0.85,0,0.0,,24.0,28.235294084429068,0.0
gpt-oss-120B (low),OpenAI,24.0,0.26,307,0.46,,24.0,92.30769195266271,667.3913028969754
GLM-4.6V,Z AI,24.0,0.45,54,0.7,,24.0,53.33333321481481,77.14285703265307
Grok 4.1 Fast,xAI,23.0,0.28,130,0.84,,23.0,82.14285684948977,154.7619045776644
GLM-4.5-Air,Z AI,23.0,0.42,97,0.56,,23.0,54.76190463151927,173.21428540497448
Mi:dm K 2.5 Pro,Korea Telecom,23.0,0.0,0,0.0,,23.0,23000000000.0,0.0
K-EXAONE,LG AI Research,23.0,0.0,106,0.31,,23.0,23000000000.0,341.93548276795
Nova 2.0 Pro Preview,Amazon,23.0,3.44,163,0.48,,23.0,6.686046509684289,339.583332625868
Qwen3 4B 2507,Alibaba,23.0,0.0,0,0.0,,23.0,23000000000.0,0.0
Grok 4 Fast,xAI,23.0,0.28,142,0.58,,23.0,82.14285684948977,244.82758578478004
Qwen3 30B A3B 2507,Alibaba,23.0,0.75,161,0.99,,23.0,30.66666662577778,162.6262624619937
Magistral Small 1.2,Mistral,23.0,0.75,205,0.33,,23.0,30.66666662577778,621.2121193296601
Mistral Large 3,Mistral,22.0,0.75,49,0.52,,22.0,29.333333294222225,94.23076904955622
INTELLECT-3,Prime Intellect,22.0,0.42,85,0.57,,22.0,52.38095225623583,149.12280675592493
Gemini 2.5 Flash-Lite (Sep),Google,22.0,0.17,550,4.22,,22.0,129.41176394463668,130.33175352361806
Devstral 2,Mistral,22.0,0.0,51,0.45,,22.0,22000000000.0,113.33333308148147
Hermes 4 405B,Nous Research,22.0,1.5,34,0.81,,22.0,14.666666656888887,41.97530859015394
Mistral Medium 3.1,Mistral,21.0,0.8,98,0.4,,21.0,26.2499999671875,244.99999938749997
gpt-oss-20B (low),OpenAI,21.0,0.1,252,0.55,,21.0,209.9999979,458.1818173487603
K2-V2 (high),MBZUAI Institute of Foundation Models,21.0,0.0,0,0.0,,21.0,21000000000.0,0.0
Qwen3 VL 235B A22B,Alibaba,21.0,1.23,35,1.08,,21.0,17.073170717826688,32.407407377400546
Ring-flash-2.0,InclusionAI,21.0,0.25,80,1.4,,21.0,83.99999966399999,57.142857102040814
Hermes 4 70B,Nous Research,20.0,0.2,81,0.6,,20.0,99.9999995,134.99999977500002
Qwen3 Next 80B A3B,Alibaba,20.0,0.88,170,1.13,,20.0,22.72727270144628,150.44247774297125
Llama Nemotron Ultra,NVIDIA,20.0,0.9,38,0.72,,20.0,22.222222197530865,52.77777770447531
Qwen3 Coder 30B A3B,Alibaba,20.0,0.9,99,1.48,,20.0,22.222222197530865,66.89189184669466
Ling-flash-2.0,InclusionAI,20.0,0.25,56,1.5,,20.0,79.99999967999999,37.333333308444445
Gemini 2.5 Flash-Lite (Sep),Google,20.0,0.17,429,0.33,,20.0,117.64705813148788,1299.999996060606
Qwen3 VL 30B A3B,Alibaba,20.0,0.75,103,0.91,,20.0,26.666666631111113,113.18681306243208
Ling-1T,InclusionAI,19.0,0.0,0,0.0,,19.0,19000000000.0,0.0
