model_name,provider,cost_usd_1m,speed_tok_s,latency_s,context_window,source,avg_score,ifeval,bbh,math_score,gpqa,musr,mmlu_pro,params_b,architecture,accuracy,cost_efficiency,speed_efficiency,composite_score,tag
Llama 3.1 Nemotron Nano 4B v1.1,NVIDIA,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Kimi Linear 48B A3B Instruct,Kimi,0.0,0,0.0,1m,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Reka Flash 3,Reka AI,0.35,49,1.3,128k,ArtificialAnalysis,,,,,,,,,,22.0,62.85714267755102,37.692307663313606,59.45351772302263,Balanced
Llama 3.3 Nemotron Super 49B,NVIDIA,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Llama 3.1 405B,Meta,4.19,25,0.68,128k,ArtificialAnalysis,,,,,,,,,,14.0,3.3412887820187853,36.7647058282872,42.19758596048084,Balanced
Qwen3 VL 4B,Alibaba,0.0,0,0.0,256k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Solar Pro 2,Upstage,0.0,0,0.0,66k,ArtificialAnalysis,,,,,,,,,,14.0,14000000000.0,0.0,52.11111111111111,Fast
Llama 4 Scout,Meta,0.28,117,0.42,10m,ArtificialAnalysis,,,,,,,,,,14.0,49.99999982142856,278.5714279081633,54.527690496684386,Balanced
Llama 3.1 Nemotron 70B,NVIDIA,1.2,40,0.28,128k,ArtificialAnalysis,,,,,,,,,,14.0,11.666666656944445,142.85714234693876,50.152467065129656,Balanced
Hermes 4 70B,Nous Research,0.2,72,0.57,128k,ArtificialAnalysis,,,,,,,,,,22.0,109.99999944999999,126.31578925207758,60.58498255718856,Balanced
NVIDIA Nemotron 3 Nano,NVIDIA,0.1,171,0.32,1m,ArtificialAnalysis,,,,,,,,,,14.0,139.9999986,534.374998330078,56.46811531830114,Balanced
Command A,Cohere,4.38,58,0.3,256k,ArtificialAnalysis,,,,,,,,,,13.0,2.9680365290027315,193.33333268888887,41.80094775737197,Balanced
NVIDIA Nemotron Nano 9B V2,NVIDIA,0.1,109,0.41,131k,ArtificialAnalysis,,,,,,,,,,13.0,129.99999870000002,265.8536578881618,53.87238954450263,Balanced
Phi-4,Microsoft Azure,0.22,7,0.76,16k,ArtificialAnalysis,,,,,,,,,,22.0,99.99999954545454,9.21052630367036,58.72862994157128,Balanced
Qwen3 1.7B,Alibaba,0.4,126,0.9,32k,ArtificialAnalysis,,,,,,,,,,22.0,54.99999986249999,139.99999984444443,61.499307918580556,Balanced
Jamba Reasoning 3B,AI21 Labs,0.0,0,0.0,262k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
R1 1776,Perplexity,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Llama 3.2 90B (Vision),Meta,0.72,41,0.33,128k,ArtificialAnalysis,,,,,,,,,,22.0,30.555555513117287,124.24242386593204,58.48200212906877,Balanced
Ministral 3B (Dec '25),Mistral,0.1,298,0.27,256k,ArtificialAnalysis,,,,,,,,,,12.0,119.9999988,1103.703699615912,58.16282267860448,Balanced
EXAONE 4.0 32B,LG AI Research,0.7,87,0.31,131k,ArtificialAnalysis,,,,,,,,,,12.0,17.14285711836735,280.6451603850156,50.90119820450322,Balanced
Nova Micro,Amazon,0.06,462,0.36,130k,ArtificialAnalysis,,,,,,,,,,22.0,366.66666055555567,1283.3333297685185,71.6085110462201,High-Performance
LFM2 8B A1B,Liquid AI,0.0,0,0.0,33k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Granite 4.0 H Small,IBM,0.11,239,8.74,128k,ArtificialAnalysis,,,,,,,,,,11.0,99.9999990909091,27.34553775430829,54.14086048968583,Balanced
Granite 4.0 Micro,IBM,0.0,0,0.0,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Phi-4 Mini,Microsoft Azure,0.0,45,0.31,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,145.1612898543184,60.394632547937576,Budget-Friendly
DeepHermes 3 - Mistral 24B,Nous Research,0.0,0,0.0,32k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,0.0,59.22222222222222,Fast
Llama 3.2 11B (Vision),Meta,0.16,71,0.38,128k,ArtificialAnalysis,,,,,,,,,,22.0,137.499999140625,186.84210477146814,60.691335172805836,Balanced
Qwen3 Omni 30B A3B,Alibaba,0.43,89,0.94,66k,ArtificialAnalysis,,,,,,,,,,11.0,25.58139528934559,94.68085096310548,50.63036021215607,Balanced
Qwen3 0.6B,Alibaba,0.4,200,0.89,32k,ArtificialAnalysis,,,,,,,,,,22.0,54.99999986249999,224.71910087110214,63.519259491651326,High-Performance
Gemma 3 27B,Google,0.0,42,3.66,128k,ArtificialAnalysis,,,,,,,,,,10.0,10000000000.0,11.475409832930215,49.05327981165517,Budget-Friendly
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,0.3,126,0.55,128k,ArtificialAnalysis,,,,,,,,,,10.0,33.33333322222222,229.09090867438016,51.14458267302706,Balanced
Phi-4 Multimodal,Microsoft Azure,0.0,17,0.32,128k,ArtificialAnalysis,,,,,,,,,,22.0,22000000000.0,53.12499983398437,59.62922642941226,Budget-Friendly
